"id","name_th","name_en","province_id","created_at","updated_at","deleted_at"
"1001","เขตพระนคร","Khet Phra Nakhon","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1002","เขตดุสิต","Khet Dusit","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1003","เขตหนองจอก","Khet Nong Chok","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1004","เขตบางรัก","Khet Bang Rak","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1005","เขตบางเขน","Khet Bang Khen","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1006","เขตบางกะปิ","Khet Bang Kapi","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1007","เขตปทุมวัน","Khet Pathum Wan","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1008","เขตป้อมปราบศัตรูพ่าย","Khet Pom Prap Sattru Phai","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1009","เขตพระโขนง","Khet Phra Khanong","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1010","เขตมีนบุรี","Khet Min Buri","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1011","เขตลาดกระบัง","Khet Lat Krabang","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1012","เขตยานนาวา","Khet Yan Nawa","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1013","เขตสัมพันธวงศ์","Khet Samphanthawong","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1014","เขตพญาไท","Khet Phaya Thai","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1015","เขตธนบุรี","Khet Thon Buri","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1016","เขตบางกอกใหญ่","Khet Bangkok Yai","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1017","เขตห้วยขวาง","Khet Huai Khwang","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1018","เขตคลองสาน","Khet Khlong San","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1019","เขตตลิ่งชัน","Khet Taling Chan","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1020","เขตบางกอกน้อย","Khet Bangkok Noi","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1021","เขตบางขุนเทียน","Khet Bang Khun Thian","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1022","เขตภาษีเจริญ","Khet Phasi Charoen","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1023","เขตหนองแขม","Khet Nong Khaem","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1024","เขตราษฎร์บูรณะ","Khet Rat Burana","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1025","เขตบางพลัด","Khet Bang Phlat","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1026","เขตดินแดง","Khet Din Daeng","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1027","เขตบึงกุ่ม","Khet Bueng Kum","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
"1028","เขตสาทร","Khet Sathon","1","9/8/2019 03:33:09","16/5/2022 06:31:26",
