"id","name_th","name_en","geography_id","created_at","updated_at","deleted_at"
"1","กรุงเทพมหานคร","Bangkok","2","9/8/2019 03:33:09","16/5/2022 06:31:03",
"2","สมุทรปราการ","Samut Prakan","2","9/8/2019 03:33:09","16/5/2022 06:31:03",
"3","นนทบุรี","Nonthaburi","2","9/8/2019 03:33:09","16/5/2022 06:31:03",
"4","ปทุมธานี","Pathum Thani","2","9/8/2019 03:33:09","16/5/2022 06:31:03",
"5","พระนครศรีอยุธยา","Phra Nakhon Si Ayutthaya","2","9/8/2019 03:33:09","16/5/2022 06:31:03",
"6","อ่างทอง","Ang Thong","2","9/8/2019 03:33:09","16/5/2022 06:31:03",
"7","ลพบุรี","Loburi","2","9/8/2019 03:33:09","16/5/2022 06:31:03",
"8","สิงห์บุรี","Sing Buri","2","9/8/2019 03:33:09","16/5/2022 06:31:03",
"9","ชัยนาท","Chai Nat","2","9/8/2019 03:33:09","16/5/2022 06:31:03",
"10","สระบุรี","Saraburi","2","9/8/2019 03:33:09","16/5/2022 06:31:03",
"11","ชลบุรี","Chon Buri","5","9/8/2019 03:33:09","16/5/2022 06:31:03",
"12","ระยอง","Rayong","5","9/8/2019 03:33:09","16/5/2022 06:31:03",
"13","จันทบุรี","Chanthaburi","5","9/8/2019 03:33:09","16/5/2022 06:31:03",
"14","ตราด","Trat","5","9/8/2019 03:33:09","16/5/2022 06:31:03",
"15","ฉะเชิงเทรา","Chachoengsao","5","9/8/2019 03:33:09","16/5/2022 06:31:03",
"16","ปราจีนบุรี","Prachin Buri","5","9/8/2019 03:33:09","16/5/2022 06:31:03",
"17","นครนายก","Nakhon Nayok","2","9/8/2019 03:33:09","16/5/2022 06:31:03",
"18","สระแก้ว","Sa Kaeo","5","9/8/2019 03:33:09","16/5/2022 06:31:03",
"19","นครราชสีมา","Nakhon Ratchasima","3","9/8/2019 03:33:09","16/5/2022 06:31:03",
"20","บุรีรัมย์","Buri Ram","3","9/8/2019 03:33:09","16/5/2022 06:31:03",
"21","สุรินทร์","Surin","3","9/8/2019 03:33:09","16/5/2022 06:31:03",
"22","ศรีสะเกษ","Si Sa Ket","3","9/8/2019 03:33:09","16/5/2022 06:31:03",
"23","อุบลราชธานี","Ubon Ratchathani","3","9/8/2019 03:33:09","16/5/2022 06:31:03",
"24","ยโสธร","Yasothon","3","9/8/2019 03:33:09","16/5/2022 06:31:03",
