"id","zip_code","name_th","name_en","amphure_id","created_at","updated_at","deleted_at"
"100101","10200","พระบรมมหาราชวัง","Phra Borom Maha Ratchawang","1001","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100102","10200","วังบูรพาภิรมย์","Wang Burapha Phirom","1001","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100103","10200","วัดราชบพิธ","Wat Ratchabophit","1001","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100104","10200","สำราญราษฎร์","Samran Rat","1001","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100105","10200","ศาลเจ้าพ่อเสือ","San Chao Pho Suea","1001","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100106","10200","เสาชิงช้า","Sao Chingcha","1001","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100107","10200","บวรนิเวศ","Bowon Niwet","1001","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100108","10200","ตลาดยอด","Talat Yot","1001","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100109","10200","ชนะสงคราม","Chana Songkhram","1001","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100110","10200","บ้านพานถม","Ban Phan Thom","1001","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100111","10200","บางขุนพรหม","Bang Khun Phrom","1001","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100112","10200","วัดสามพระยา","Wat Sam Phraya","1001","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100201","10300","ดุสิต","Dusit","1002","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100202","10300","วชิรพยาบาล","Wachiraphayaban","1002","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100203","10300","สวนจิตรลดา","Suan Chit Lada","1002","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100204","10300","สี่แยกมหานาค","Si Yaek Maha Nak","1002","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100206","10300","ถนนนครไชยศรี","Thanon Nakhon Chai Si","1002","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100301","10530","กระทุ่มราย","Krathum Rai","1003","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100302","10530","หนองจอก","Nong Chok","1003","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100303","10530","คลองสิบ","Khlong Sip","1003","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100304","10530","คลองสิบสอง","Khlong Sip Song","1003","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100305","10530","โคกแฝด","Khok Faet","1003","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100306","10530","คู้ฝั่งเหนือ","Khu Fang Nuea","1003","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100307","10530","ลำผักชี","Lam Phak Chi","1003","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100308","10530","ลำต้อยติ่ง","Lam Toiting","1003","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100401","10500","มหาพฤฒาราม","Maha Phruettharam","1004","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100402","10500","สีลม","Si Lom","1004","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100403","10500","สุริยวงศ์","Suriyawong","1004","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100404","10500","บางรัก","Bang Rak","1004","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100405","10500","สี่พระยา","Si Phraya","1004","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100502","10220","อนุสาวรีย์","Anusawari","1005","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100508","10220","ท่าแร้ง","Tha Raeng","1005","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100601","10240","คลองจั่น","Khlong Chan","1006","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100608","10240","หัวหมาก","Hua Mak","1006","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100701","10330","รองเมือง","Rong Mueang","1007","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100702","10330","วังใหม่","Wang Mai","1007","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100703","10330","ปทุมวัน","Pathum Wan","1007","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100704","10330","ลุมพินี","Lumphini","1007","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100801","10100","ป้อมปราบ","Pom Prap","1008","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100802","10100","วัดเทพศิรินทร์","Wat Thep Sirin","1008","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100803","10100","คลองมหานาค","Khlong Maha Nak","1008","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100804","10100","บ้านบาตร","Ban Bat","1008","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100805","10100","วัดโสมนัส","Wat Sommanat","1008","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100905","10260","บางจาก","Bang Chak","1009","9/8/2019 03:33:09","16/5/2022 06:31:31",
"100910","10260","พระโขนงใต้","Phra Khanong Tai","1009","25/9/2024 00:00:00","25/9/2024 00:00:00",
"101001","10510","มีนบุรี","Min Buri","1010","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101002","10510","แสนแสบ","Saen Saep","1010","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101101","10520","ลาดกระบัง","Lat Krabang","1011","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101102","10520","คลองสองต้นนุ่น","Khlong Song Ton Nun","1011","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101103","10520","คลองสามประเวศ","Khlong Sam Prawet","1011","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101104","10520","ลำปลาทิว","Lam Pla Thio","1011","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101105","10520","ทับยาว","Thap Yao","1011","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101106","10520","ขุมทอง","Khum Thong","1011","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101203","10120","ช่องนนทรี","Chong Nonsi","1012","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101204","10120","บางโพงพาง","Bang Phongphang","1012","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101301","10100","จักรวรรดิ","Chakkrawat","1013","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101302","10100","สัมพันธวงศ์","Samphanthawong","1013","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101303","10100","ตลาดน้อย","Talat Noi","1013","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101401","10400","สามเสนใน","Samsen Nai","1014","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101406","10400","พญาไท","Phaya Thai","1014","25/9/2024 00:00:00","25/9/2024 00:00:00",
"101501","10600","วัดกัลยาณ์","Wat Kanlaya","1015","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101502","10600","หิรัญรูจี","Hiran Ruchi","1015","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101503","10600","บางยี่เรือ","Bang Yi Ruea","1015","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101504","10600","บุคคโล","Bukkhalo","1015","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101505","10600","ตลาดพลู","Talat Phlu","1015","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101506","10600","ดาวคะนอง","Dao Khanong","1015","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101507","10600","สำเหร่","Samre","1015","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101601","10600","วัดอรุณ","Wat Arun","1016","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101602","10600","วัดท่าพระ","Wat Tha Phra","1016","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101701","10310","ห้วยขวาง","Huai Khwang","1017","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101702","10310","บางกะปิ","Bang Kapi","1017","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101704","10310","สามเสนนอก","Samsen Nok","1017","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101801","10600","สมเด็จเจ้าพระยา","Somdet Chao Phraya","1018","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101802","10600","คลองสาน","Khlong San","1018","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101803","10600","บางลำภูล่าง","Bang Lamphu Lang","1018","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101804","10600","คลองต้นไทร","Khlong Ton Sai","1018","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101901","10170","คลองชักพระ","Khlong Chak Phra","1019","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101902","10170","ตลิ่งชัน","Taling Chan","1019","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101903","10170","ฉิมพลี","Chimphli","1019","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101904","10170","บางพรม","Bang Phrom","1019","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101905","10170","บางระมาด","Bang Ramat","1019","9/8/2019 03:33:09","16/5/2022 06:31:31",
"101907","10170","บางเชือกหนัง","Bang Chueak Nang","1019","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102004","10700","ศิริราช","Siri Rat","1020","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102005","10700","บ้านช่างหล่อ","Ban Chang Lo","1020","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102006","10700","บางขุนนนท์","Bang Khun Non","1020","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102007","10700","บางขุนศรี","Bang Khun Si","1020","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102009","10700","อรุณอมรินทร์","Arun Ammarin","1020","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102105","10150","ท่าข้าม","Tha Kham","1021","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102107","10150","แสมดำ","Samae Dam","1021","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102201","10160","บางหว้า","Bang Wa","1022","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102202","10160","บางด้วน","Bang Duan","1022","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102203","10160","บางแค","Bang Kae","1022","9/8/2019 03:33:09","16/5/2022 06:31:31","25/9/2024 00:00:00"
"102204","10160","บางแคเหนือ","Bang Kae Nua","1022","9/8/2019 03:33:09","16/5/2022 06:31:31","25/9/2024 00:00:00"
"102205","10160","บางไผ่","Bang Phai","1022","9/8/2019 03:33:09","16/5/2022 06:31:31","25/9/2024 00:00:00"
"102206","10160","บางจาก","Bang Chak","1022","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102207","10160","บางแวก","Bang Waek","1022","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102208","10160","คลองขวาง","Khlong Khwang","1022","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102209","10160","ปากคลองภาษีเจริญ","Pak Khlong Phasi Charoen","1022","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102210","10160","คูหาสวรรค์","Khuha Sawan","1022","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102302","10160","หนองแขม","Nong Khaem","1023","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102303","10160","หนองค้างพลู","Nong Khang Phlu","1023","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102401","10140","ราษฎร์บูรณะ","Rat Burana","1024","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102402","10140","บางปะกอก","Bang Pakok","1024","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102501","10700","บางพลัด","Bang Phlat","1025","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102502","10700","บางอ้อ","Bang O","1025","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102503","10700","บางบำหรุ","Bang Bamru","1025","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102504","10700","บางยี่ขัน","Bang Yi Khan","1025","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102601","10400","ดินแดง","Din Daeng","1026","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102602","10400","รัชดาภิเษก","Ratchadaphisek","1026","25/9/2024 00:00:00","25/9/2024 00:00:00",
"102701","10240","คลองกุ่ม","Khlong Kum","1027","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102702","10240","สะพานสูง","Saphan Sung","1027","9/8/2019 03:33:09","16/5/2022 06:31:31","25/9/2024 00:00:00"
"102703","10240","คันนายาว","Khan Na Yao","1027","9/8/2019 03:33:09","16/5/2022 06:31:31","25/9/2024 00:00:00"
"102704","10240","นวมินทร์","Nawamin","1027","25/9/2024 00:00:00","25/9/2024 00:00:00",
"102705","10230","นวลจันทร์","Nuan Chan","1027","25/9/2024 00:00:00","25/9/2024 00:00:00",
"102801","10120","ทุ่งวัดดอน","Thung Wat Don","1028","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102802","10120","ยานนาวา","Yan Nawa","1028","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102803","10120","ทุ่งมหาเมฆ","Thung Maha Mek","1028","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102901","10800","บางซื่อ","Bang Sue","1029","9/8/2019 03:33:09","16/5/2022 06:31:31",
"102902","10800","วงศ์สว่าง","Wong Sawang","1029","25/9/2024 00:00:00","25/9/2024 00:00:00",
"103001","10900","ลาดยาว","Lat Yao","1030","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103002","10900","เสนานิคม","Sena Nikhom","1030","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103003","10900","จันทรเกษม","Chan Kasem","1030","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103004","10900","จอมพล","Chom Phon","1030","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103005","10900","จตุจักร","Chatuchak","1030","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103101","10120","บางคอแหลม","Bang Kho Laem","1031","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103102","10120","วัดพระยาไกร","Wat Phraya Krai","1031","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103103","10120","บางโคล่","Bang Khlo","1031","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103201","10250","ประเวศ","Prawet","1032","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103202","10250","หนองบอน","Nong Bon","1032","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103203","10250","ดอกไม้","Dokmai","1032","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103204","10250","สวนหลวง","Suan Luang","1032","9/8/2019 03:33:09","16/5/2022 06:31:31","25/9/2024 00:00:00"
"103301","10110","คลองเตย","Khlong Toei","1033","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103302","10110","คลองตัน","Khlong Tan","1033","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103303","10110","พระโขนง","Phra Khanong","1033","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103304","10110","คลองเตยเหนือ","Khlong Toei Nua","1033","9/8/2019 03:33:09","16/5/2022 06:31:31","25/9/2024 00:00:00"
"103305","10110","คลองตันเหนือ","Khlong Tan Nua","1033","9/8/2019 03:33:09","16/5/2022 06:31:31","25/9/2024 00:00:00"
"103306","10110","พระโขนงเหนือ","Phra Khanong Nua","1033","9/8/2019 03:33:09","16/5/2022 06:31:31","25/9/2024 00:00:00"
"103401","10250","สวนหลวง","Suan Luang","1034","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103402","10250","อ่อนนุช","On Nut","1034","25/9/2024 00:00:00","25/9/2024 00:00:00",
"103403","10250","พัฒนาการ","Phatthanakan","1034","25/9/2024 00:00:00","25/9/2024 00:00:00",
"103501","10150","บางขุนเทียน","Bang Khun Thian","1035","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103502","10150","บางค้อ","Bang Kho","1035","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103503","10150","บางมด","Bang Mot","1035","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103504","10150","จอมทอง","Chom Thong","1035","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103602","10210","สีกัน","Si Kan","1036","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103604","10210","ดอนเมือง","Don Mueang","1036","25/9/2024 00:00:00","25/9/2024 00:00:00",
"103605","10210","สนามบิน","Sanam Bin","1036","25/9/2024 00:00:00","25/9/2024 00:00:00",
"103701","10400","ทุ่งพญาไท","Thung Phaya Thai","1037","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103702","10400","ถนนพญาไท","Thanon Phaya Thai","1037","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103703","10400","ถนนเพชรบุรี","Thanon Phetchaburi","1037","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103704","10400","มักกะสัน","Makkasan","1037","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103801","10230","ลาดพร้าว","Lat Phrao","1038","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103802","10230","จรเข้บัว","Chorakhe Bua","1038","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103901","10110","คลองเตยเหนือ","Khlong Toei Nuea","1039","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103902","10110","คลองตันเหนือ","Khlong Tan Nuea","1039","9/8/2019 03:33:09","16/5/2022 06:31:31",
"103903","10110","พระโขนงเหนือ","Phra Khanong Nuea","1039","9/8/2019 03:33:09","16/5/2022 06:31:31",
"104001","10160","บางแค","Bang Khae","1040","9/8/2019 03:33:09","16/5/2022 06:31:31",
"104002","10160","บางแคเหนือ","Bang Khae Nuea","1040","9/8/2019 03:33:09","16/5/2022 06:31:31",
"104003","10160","บางไผ่","Bang Phai","1040","9/8/2019 03:33:09","16/5/2022 06:31:31",
"104004","10160","หลักสอง","Lak Song","1040","9/8/2019 03:33:09","16/5/2022 06:31:31",
"104101","10210","ทุ่งสองห้อง","Thung Song Hong","1041","9/8/2019 03:33:09","16/5/2022 06:31:31",
"104102","10210","ตลาดบางเขน","Talat Bang Khen","1041","9/8/2019 03:33:09","16/5/2022 06:31:31",
"104201","10220","สายไหม","Sai Mai","1042","9/8/2019 03:33:09","16/5/2022 06:31:31",
"104202","10220","ออเงิน","O Ngoen","1042","9/8/2019 03:33:09","16/5/2022 06:31:31",
"104203","10220","คลองถนน","Khlong Thanon","1042","9/8/2019 03:33:09","16/5/2022 06:31:31",
"104301","10230","คันนายาว","Khan Na Yao","1043","9/8/2019 03:33:09","16/5/2022 06:31:31",
"104302","10230","รามอินทรา","Ram Inthra","1043","25/9/2024 00:00:00","25/9/2024 00:00:00",
"104401","10240","สะพานสูง","Sapan Sung","1044","9/8/2019 03:33:09","16/5/2022 06:31:31",
"104402","10240","ราษฎร์พัฒนา","Rat Phatthana","1044","25/9/2024 00:00:00","25/9/2024 00:00:00",
"104403","10250","ทับช้าง","Thap Chang","1044","25/9/2024 00:00:00","25/9/2024 00:00:00",
"104501","10310","วังทองหลาง","Wang Thonglang","1045","9/8/2019 03:33:09","16/5/2022 06:31:31",
"104502","10310","สะพานสอง","Saphan Song","1045","25/9/2024 00:00:00","25/9/2024 00:00:00",
"104503","10310","คลองเจ้าคุณสิงห์","Khlong Chao Khun Sing","1045","25/9/2024 00:00:00","25/9/2024 00:00:00",
"104504","10310","พลับพลา","Phlapphla","1045","25/9/2024 00:00:00","25/9/2024 00:00:00",
"104601","10510","สามวาตะวันตก","Sam Wa Tawantok","1046","9/8/2019 03:33:09","16/5/2022 06:31:31",
"104602","10510","สามวาตะวันออก","Sam Wa Tawan-ok","1046","9/8/2019 03:33:09","16/5/2022 06:31:31",
"104603","10510","บางชัน","Bang Chan","1046","9/8/2019 03:33:09","16/5/2022 06:31:31",
"104604","10510","ทรายกองดิน","Sai Kong Din","1046","9/8/2019 03:33:09","16/5/2022 06:31:31",
"104605","10510","ทรายกองดินใต้","Sai Kong Din Tai","1046","9/8/2019 03:33:09","16/5/2022 06:31:31",
"104701","10260","บางนา","Bang Na","1047","9/8/2019 03:33:09","16/5/2022 06:31:31","25/9/2024 00:00:00"
"104702","10260","บางนาเหนือ","Bang Na Nuea","1047","25/9/2024 00:00:00","25/9/2024 00:00:00",
"104703","10260","บางนาใต้","Bang Na Tai","1047","25/9/2024 00:00:00","25/9/2024 00:00:00",
"104801","10170","ทวีวัฒนา","Thawi Watthana","1048","9/8/2019 03:33:09","16/5/2022 06:31:31",
"104802","10170","ศาลาธรรมสพน์","Sala Thammasop","1048","9/8/2019 03:33:09","16/5/2022 06:31:31",
"104901","10140","บางมด","Bang Mot","1049","9/8/2019 03:33:09","16/5/2022 06:31:31",
"104902","10140","ทุ่งครุ","Thung Khru","1049","9/8/2019 03:33:09","16/5/2022 06:31:31",
"105001","10150","บางบอน","Bang Bon","1050","9/8/2019 03:33:09","16/5/2022 06:31:31","25/9/2024 00:00:00"
